R_fighter,B_fighter,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,weight_dif
Khabib Nurmagomedov,Dustin Poirier,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,True,Lightweight,MALE,5,0,5.51,0.49,1.2,1.55,0.37,5,54,1,1,0,5,9,3,0,18,Southpaw,175.26,182.88,155,0,4.11,0.49,0.7,5.35,0.47,0,33,2,0,0,6,2,3,0,11,Orthodox,177.8,177.8,155,30,30,0,-6,-6,7,-5,21,-1,7,0,-2.54,5.08,0,1.4,0.5,-3.8,Red,SUB,Rear Naked Choke,3.0,2:06,726.0,0
Edson Barboza,Paul Felder,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,MALE,3,0,3.55,0.43,0.3,0.29,0.27,4,30,0,0,1,2,4,1,0,8,Orthodox,180.34,177.8,155,0,4.01,0.43,0.1,0.49,0.44,7,52,0,1,1,5,6,0,0,14,Orthodox,180.34,190.5,155,33,35,1,1,-1,-6,3,-22,0,-2,1,0.0,-12.7,-2,-0.46,0.2,-0.2,Red,S-DEC,blank,3.0,5:00,900.0,0
Islam Makhachev,Davi Ramos,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Lightweight,MALE,3,0,2.74,0.39,0.7,2.42,0.5,1,11,0,0,0,1,0,3,0,4,Orthodox,167.64,177.8,155,0,2.1,0.56,0.8,3.4,0.68,1,13,0,0,0,3,1,2,0,6,Orthodox,177.8,177.8,155,27,32,0,-1,-1,-2,0,-2,0,-1,1,-10.16,0.0,-5,0.64,-0.1,-0.98,Red,U-DEC,blank,3.0,5:00,900.0,0
Curtis Blaydes,Shamil Abdurakhimov,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Heavyweight,MALE,3,0,2.45,0.44,0.2,1.23,0.24,2,17,0,0,1,2,2,0,0,5,Orthodox,190.5,193.04,235,0,3.74,0.51,0.0,6.63,0.55,2,21,0,0,0,3,3,0,0,6,Orthodox,193.04,203.2,265,28,38,0,2,-2,-1,0,-4,0,-1,0,-2.54,-10.16,-10,-1.29,0.2,-5.4,Red,KO/TKO,Elbow,2.0,2:22,442.0,30
Mairbek Taisumov,Diego Ferreira,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,MALE,3,0,5.07,0.36,1.0,1.04,0.27,2,12,0,0,0,2,3,1,0,6,Orthodox,175.26,187.96,155,0,2.98,0.39,0.0,1.34,0.63,1,13,0,0,0,2,5,0,0,7,Orthodox,175.26,185.42,155,31,34,0,-2,-2,-1,-1,-1,0,-2,1,0.0,2.54,-3,2.09,1.0,-0.3,neither,U-DEC,blank,3.0,5:00,900.0,0
Joanne Calderwood,Andrea Lee,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Flyweight,FEMALE,3,0,5.02,0.53,0.5,1.75,0.46,0,9,0,0,0,3,0,0,0,3,Orthodox,167.64,175.26,125,0,6.19,0.47,0.5,1.85,0.56,4,21,0,0,0,3,1,1,0,5,Orthodox,167.64,165.1,125,33,30,1,3,1,-2,4,-12,0,-1,-1,0.0,10.16,3,-1.17,0.0,-0.1,Red,S-DEC,blank,3.0,5:00,900.0,0
Liana Jojua,Sarah Moras,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Women's Bantamweight,FEMALE,3,0,2.04,0.41,1.1,0.91,0.23,4,15,0,0,0,1,0,1,0,2,Orthodox,170.18,170.18,135,0,1.53,0.42,0.0,2.41,0.66,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,157.48,135,24,31,-3,0,1,2,-4,15,0,0,1,7.62,12.7,-7,0.51,1.1,-1.5,neither,KO/TKO,Elbows,3.0,2:26,746.0,0
Ottman Azaitar,Teemu Packalen,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Lightweight,MALE,3,0,2.57,0.54,1.5,2.31,0.25,2,5,0,0,0,0,0,1,0,1,Orthodox,185.42,190.5,155,0,7.61,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Switch,172.72,180.34,155,29,32,-1,0,1,1,-2,5,0,0,1,12.7,10.16,-3,-5.04,1.5,2.31,neither,KO/TKO,Punch,1.0,3:33,213.0,0
Belal Muhammad,Takashi Sato,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Welterweight,MALE,3,0,3.13,0.36,0.0,0.82,0.5,0,2,0,0,0,0,1,0,0,1,Southpaw,177.8,185.42,170,0,4.37,0.41,0.2,2.15,0.31,3,25,0,0,1,4,1,0,0,6,Orthodox,180.34,182.88,170,31,29,0,0,-3,-5,3,-23,0,0,0,-2.54,2.54,2,-1.24,-0.2,-1.33,neither,SUB,Rear Naked Choke,3.0,1:55,715.0,0
Nordine Taleb,Muslim Salikhov,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Welterweight,MALE,3,0,2.92,0.46,0.0,1.22,0.42,1,4,0,0,0,0,1,0,0,1,Orthodox,180.34,177.8,170,0,3.66,0.51,0.0,1.94,0.76,4,26,0,0,1,4,2,0,0,7,Orthodox,185.42,187.96,170,38,35,0,0,-2,-6,3,-22,0,-1,0,-5.08,-10.16,3,-0.74,0.0,-0.72,neither,KO/TKO,Punch,1.0,4:26,266.0,0
Omari Akhmedov,Zak Cummings,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Middleweight,MALE,3,0,2.47,0.32,0.8,0.75,0.28,4,27,0,0,0,3,1,4,0,8,Southpaw,182.88,190.5,185,1,2.99,0.34,0.2,2.4,0.5,3,24,0,0,1,3,2,0,0,6,Orthodox,182.88,185.42,185,31,35,0,1,0,2,-1,3,0,-1,4,0.0,5.08,-4,-0.52,0.6,-1.65,neither,U-DEC,blank,3.0,5:00,900.0,0
Don Madge,Fares Ziam,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Lightweight,MALE,3,0,0.67,0.32,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,155,0,2.08,0.52,0.7,2.22,0.25,0,2,0,0,0,0,1,0,0,1,Southpaw,182.88,182.88,155,28,22,0,-1,-1,-1,0,-2,0,-1,0,2.54,7.62,6,-1.41,-0.7,-2.22,neither,U-DEC,blank,3.0,5:00,900.0,0
Donald Cerrone,Justin Gaethje,9/14/2019,"Vancouver, British Columbia, Canada",Canada,Blue,False,Lightweight,MALE,5,0,8.57,0.55,0.0,0.0,0.0,2,11,0,0,0,0,3,0,0,3,Orthodox,180.34,177.8,155,0,4.33,0.46,1.3,1.21,0.36,12,95,1,0,0,9,10,10,0,29,Orthodox,185.42,185.42,155,36,30,1,2,-6,-26,10,-84,-1,-7,-10,-5.08,-7.62,6,4.24,-1.3,-1.21,Red,KO/TKO,Punch,1.0,4:18,258.0,0
Glover Teixeira,Nikita Krylov,9/14/2019,"Vancouver, British Columbia, Canada",Canada,Red,False,Light Heavyweight,MALE,3,0,4.86,0.57,1.9,1.06,0.38,2,17,0,0,0,0,3,4,0,7,Orthodox,190.5,195.58,205,0,3.41,0.44,1.0,2.0,0.38,6,43,1,0,0,2,7,6,0,15,Orthodox,187.96,193.04,205,39,27,0,-1,-3,-8,4,-26,-1,-4,-2,2.54,2.54,12,1.45,0.9,-0.94,Red,S-DEC,blank,3.0,5:00,900.0,0
Michel Pereira,Tristan Connelly,9/14/2019,"Vancouver, British Columbia, Canada",Canada,Blue,False,Welterweight,MALE,3,0,4.27,0.51,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,172.72,170,0,2.26,0.44,0.0,1.79,0.4,0,1,0,0,0,0,1,0,0,1,Orthodox,185.42,185.42,170,25,33,0,-1,-1,-1,0,-1,0,-1,0,-7.62,-12.7,-8,2.01,1.0,-1.79,neither,U-DEC,blank,3.0,5:00,900.0,0
Uriah Hall,Antonio Carlos Junior,9/14/2019,"Vancouver, British Columbia, Canada",Canada,Red,False,Middleweight,MALE,3,0,1.91,0.44,0.9,3.7,0.44,3,26,0,0,0,2,0,5,0,7,Orthodox,187.96,200.66,185,0,3.31,0.5,0.2,0.75,0.38,7,29,0,0,0,1,6,0,0,7,Orthodox,182.88,200.66,185,35,29,-1,-1,2,0,4,-3,0,-6,5,5.08,0.0,6,-1.4,0.7,2.95,Red,S-DEC,blank,3.0,5:00,900.0,0
Misha Cirkunov,Jimmy Crute,9/14/2019,"Vancouver, British Columbia, Canada",Canada,Red,False,Light Heavyweight,MALE,3,0,4.56,0.57,2.3,0.58,1.0,0,4,0,0,0,0,1,1,0,2,Orthodox,187.96,187.96,205,0,4.18,0.52,2.4,4.42,0.57,3,11,0,0,0,0,1,4,0,5,Orthodox,190.5,195.58,205,32,23,1,2,-2,-3,3,-7,0,0,-3,-2.54,-7.62,9,0.38,-0.1,-3.84,Red,SUB,Peruvian Necktie,1.0,3:38,218.0,0
Marcin Tybura,Augusto Sakai,9/14/2019,"Vancouver, British Columbia, Canada",Canada,Blue,False,Heavyweight,MALE,3,0,5.51,0.46,0.0,0.24,0.5,0,6,0,0,1,0,1,0,0,2,Orthodox,190.5,195.58,265,0,3.61,0.51,0.1,1.48,0.61,4,24,0,0,0,2,2,0,0,4,Orthodox,190.5,198.12,249,33,28,1,2,-1,-2,4,-18,0,-1,0,0.0,-2.54,5,1.9,-0.1,-1.24,Red,KO/TKO,Punches,1.0,0:59,59.0,-16
Cole Smith,Miles Johns,9/14/2019,"Vancouver, British Columbia, Canada",Canada,Blue,False,Bantamweight,MALE,3,0,3.47,0.53,0.0,2.0,0.66,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,167.64,135,0,1.63,0.33,1.0,1.5,0.3,0,3,0,0,0,1,0,0,0,1,Orthodox,180.34,170.18,135,30,25,0,-1,-1,-1,0,-3,0,0,0,-10.16,-2.54,5,1.84,-1.0,0.5,neither,S-DEC,blank,3.0,5:00,900.0,0
Brad Katona,Hunter Azure,9/14/2019,"Vancouver, British Columbia, Canada",Canada,Blue,False,Bantamweight,MALE,3,0,4.0,0.5,2.5,2.0,0.33,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,135,0,3.33,0.51,0.0,1.25,0.22,1,9,0,0,0,2,0,0,0,2,Orthodox,167.64,162.56,135,27,27,1,0,-2,-2,1,-9,0,0,0,5.08,12.7,0,0.67,2.5,0.75,neither,U-DEC,blank,3.0,5:00,900.0,0
Chas Skelly,Jordan Griffin,9/14/2019,"Vancouver, British Columbia, Canada",Canada,Red,False,Featherweight,MALE,3,0,3.15,0.46,1.8,0.44,0.25,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,185.42,145,0,2.02,0.4,2.4,1.71,0.34,4,22,0,0,0,1,1,4,0,6,Orthodox,180.34,182.88,145,34,29,1,0,-4,-6,3,-19,0,-1,-4,-2.54,2.54,5,1.13,-0.6,-1.27,neither,U-DEC,blank,3.0,5:00,900.0,0
Louis Smolka,Ryan MacDonald,9/14/2019,"Vancouver, British Columbia, Canada",Canada,Red,False,Bantamweight,MALE,3,0,2.28,0.29,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Switch,180.34,180.34,135,0,4.22,0.46,2.1,1.65,0.34,6,29,0,0,0,2,2,2,0,6,Orthodox,175.26,172.72,135,28,26,0,0,-4,-6,5,-26,0,-2,-2,5.08,7.62,2,-1.94,-2.1,-1.65,neither,KO/TKO,Punch,1.0,4:43,283.0,0
