R_fighter,B_fighter,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,weight_dif
Thiago Santos,Johnny Walker,2021-10-02,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,5,0,3.42,0.59,0.7,0.24,1.0,2,11,0,0,0,1,4,0,0,5,Orthodox,198.12,208.28,205,0,3.95,0.48,0.1,0.61,0.36,8,43,1,0,0,2,11,0,0,13,Orthodox,187.96,193.04,205,37,29,-3,1,0,-8,-6,-32,-1,-7,0,10.16,15.24,-8,-0.53,0.6,-0.37,Red,U-DEC,blank,5.0,5:00,1500.0,0
Alex Oliveira,Niko Price,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,5.16,0.42,0.8,0.79,0.22,5,24,0,0,0,0,4,2,0,6,Orthodox,182.88,193.04,170,0,2.97,0.51,0.5,2.27,0.37,8,44,0,0,1,3,4,3,0,11,Orthodox,180.34,193.04,170,33,32,0,0,-2,-5,-3,-20,0,0,-1,2.54,0.0,-1,2.19,0.3,-1.48,neither,U-DEC,blank,3.0,5:00,900.0,0
Misha Cirkunov,Krzysztof Jotko,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,2.92,0.41,0.1,1.15,0.34,5,38,0,0,2,6,1,0,0,9,Southpaw,185.42,195.58,185,0,3.77,0.49,1.7,4.48,0.44,4,13,0,0,0,0,1,5,0,6,Orthodox,190.5,195.58,205,34,32,0,0,1,3,1,25,0,0,-5,-5.08,0.0,-2,-0.85,-1.6,-3.33,neither,S-DEC,blank,3.0,5:00,900.0,20
Alexander Hernandez,Mike Breeden,2021-10-02,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,4.04,0.34,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,0,3.79,0.36,0.0,1.57,0.35,3,15,0,0,0,2,2,0,0,4,Orthodox,175.26,182.88,155,29,32,0,0,-2,-4,-2,-12,0,-2,0,2.54,-5.08,3,0.25,0.0,-1.57,neither,KO/TKO,Punch,1.0,1:20,80.0,0
Joe Solecki,Jared Gordon,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,5.22,0.56,0.0,2.54,0.39,3,19,0,0,0,4,1,0,0,5,Orthodox,175.26,172.72,145,0,2.64,0.62,0.6,2.85,0.52,0,8,0,0,0,2,0,2,0,4,Orthodox,175.26,177.8,155,28,33,0,-2,-2,1,3,11,0,1,-2,0.0,-5.08,5,2.58,-0.6,-0.31,neither,S-DEC,blank,3.0,5:00,900.0,10
Antonina Shevchenko,Casey O'Neill,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,5.48,0.56,1.4,3.83,0.5,0,5,0,0,0,0,1,1,0,2,Orthodox,167.64,175.26,125,0,3.89,0.56,0.5,0.51,0.5,3,17,0,0,0,1,2,1,0,4,Southpaw,172.72,170.18,125,36,23,-1,2,0,-2,-3,-12,0,-1,0,-5.08,5.08,-13,1.59,0.9,3.32,neither,KO/TKO,Punches,2.0,4:47,587.0,0
Bethe Correia,Karol Rosa,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,7.88,0.54,0.0,1.5,0.5,0,9,0,0,1,2,0,0,0,3,Orthodox,165.1,170.18,135,1,4.37,0.43,0.0,0.39,0.18,5,30,1,0,2,2,1,0,0,5,Orthodox,165.1,162.56,135,38,26,-1,3,0,-2,-5,-21,-1,-1,0,0.0,7.62,-12,3.51,0.0,1.11,Blue,U-DEC,blank,3.0,5:00,900.0,0
Devonte Smith,Jamie Mullarkey,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,3.03,0.4,0.4,3.5,0.32,2,7,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,155,0,5.1,0.52,0.5,0.53,1.0,1,6,0,0,0,0,4,0,0,4,Orthodox,175.26,193.04,155,28,27,0,0,-2,-3,1,1,0,-3,0,7.62,-5.08,-1,-2.07,-0.1,2.97,neither,KO/TKO,Punches,2.0,2:51,471.0,0
Douglas Silva de Andrade,Gaetano Pirrello,2021-10-02,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,0.99,0.55,0.0,0.0,0.0,1,2,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,135,0,3.79,0.38,0.0,0.69,0.5,4,22,0,0,0,3,1,0,0,4,Orthodox,170.18,172.72,145,36,29,0,0,-2,-4,-3,-20,0,-1,0,0.0,-7.62,-7,-2.8,0.0,-0.69,neither,KO/TKO,Punch,1.0,2:04,124.0,10
Stephanie Egger,Shanna Young,2021-10-02,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,0,3.04,0.53,1.0,0.0,0.0,2,5,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,135,0,1.74,0.52,0.0,2.01,0.3,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,33,30,1,0,0,0,1,2,0,0,0,2.54,-7.62,-3,1.3,1.0,-2.01,neither,KO/TKO,Elbow,2.0,2:22,442.0,0
Alejandro Perez,Johnny Eduardo,2021-10-02,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,2.95,0.39,0.4,0.22,0.2,4,14,0,0,0,1,2,0,0,3,Orthodox,170.18,180.34,135,1,3.45,0.35,0.4,0.61,0.23,3,25,0,0,1,3,3,0,0,7,Orthodox,167.64,165.1,145,32,43,0,0,-2,-4,1,-11,0,-1,0,2.54,15.24,11,-0.5,0.0,-0.39,neither,SUB,Armbar,2.0,4:13,553.0,10
Alexander Volkanovski,Brian Ortega,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,True,Featherweight,MALE,5,0,4.15,0.38,1.2,0.87,0.24,1,25,1,0,0,1,3,3,0,7,Switch,172.72,175.26,145,0,6.42,0.56,0.3,1.77,0.34,0,28,2,0,1,5,3,0,0,9,Orthodox,167.64,180.34,145,32,30,0,-8,-3,-2,1,-3,-1,0,3,5.08,-5.08,-2,-2.27,0.9,-0.9,Red,U-DEC,blank,5.0,5:00,1500.0,0
Valentina Shevchenko,Lauren Murphy,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,True,Women's Flyweight,FEMALE,5,0,3.58,0.38,0.1,1.03,0.34,4,32,0,0,3,1,2,1,0,7,Orthodox,165.1,170.18,125,0,3.21,0.52,0.3,2.62,0.64,2,42,7,0,1,4,3,2,0,10,Southpaw,165.1,167.64,125,33,38,0,-2,-2,-3,2,-10,-7,-1,-1,0.0,2.54,5,0.37,-0.2,-1.59,Red,KO/TKO,Punches,4.0,4:00,1140.0,0
Nick Diaz,Robbie Lawler,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,3.73,0.46,0.0,0.66,0.64,14,91,5,0,3,4,12,0,0,19,Southpaw,180.34,187.96,170,0,5.71,0.42,1.0,1.28,0.32,7,70,2,0,1,2,10,6,0,19,Southpaw,185.42,193.04,170,38,39,2,0,-6,0,7,21,3,2,-6,-5.08,-5.08,1,-1.98,-1.0,-0.62,neither,KO/TKO,Punch,3.0,0:44,644.0,0
Curtis Blaydes,Jairzinho Rozenstruik,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,2.8,0.46,0.0,0.0,0.0,2,18,0,0,0,0,6,0,0,6,Orthodox,187.96,198.12,242,0,3.44,0.51,0.0,6.27,0.53,3,32,0,0,0,4,5,0,0,9,Orthodox,193.04,203.2,265,30,33,-1,1,-1,-3,-1,-14,0,1,0,-5.08,-5.08,3,-0.64,0.0,-6.27,Red,U-DEC,blank,3.0,5:00,900.0,23
Jessica Andrade,Cynthia Calvillo,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,1,4.24,0.41,1.1,1.77,0.44,2,25,0,0,0,3,0,3,0,6,Orthodox,162.56,162.56,125,0,6.24,0.5,0.4,2.9,0.55,7,42,4,0,1,5,4,2,0,12,Orthodox,154.94,157.48,125,30,34,0,0,-1,-6,-5,-17,-4,-4,1,7.62,5.08,4,-2.0,0.7,-1.13,Red,KO/TKO,Punches,1.0,4:54,294.0,0
Marlon Moraes,Merab Dvalishvili,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,4.26,0.41,0.3,7.3,0.45,2,24,0,0,0,6,0,0,0,6,Orthodox,167.64,172.72,135,0,3.34,0.4,0.4,0.89,0.41,4,18,1,0,2,0,2,1,0,5,Orthodox,167.64,170.18,135,33,30,-2,6,2,1,-2,6,-1,-2,-1,0.0,2.54,-3,0.92,-0.1,6.41,Red,KO/TKO,Punches,2.0,4:25,565.0,0
Dan Hooker,Nasrat Haqparast,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,5.19,0.46,0.0,0.16,0.14,2,18,0,0,0,4,1,0,0,5,Southpaw,177.8,182.88,155,0,4.95,0.48,0.2,0.91,0.36,6,38,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,31,26,-2,2,-1,-5,-4,-20,0,-5,-2,-5.08,-7.62,-5,0.24,-0.2,-0.75,Red,U-DEC,blank,3.0,5:00,900.0,0
Shamil Abdurakhimov,Chris Daukaus,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,0,9.03,0.53,0.0,0.0,0.0,0,3,0,0,0,0,3,0,0,3,Orthodox,190.5,193.04,250,0,2.53,0.43,0.2,1.14,0.24,3,19,0,0,1,2,2,0,0,5,Orthodox,190.5,193.04,235,40,32,-1,3,0,-2,-3,-16,0,1,0,0.0,0.0,-8,6.5,-0.2,-1.14,Red,KO/TKO,Punch,2.0,1:23,383.0,-15
Roxanne Modafferi,Taila Santos,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,3.55,0.5,0.8,2.6,0.86,1,12,0,0,0,3,0,0,0,3,Orthodox,167.64,172.72,125,0,2.97,0.3,0.1,1.3,0.21,8,35,1,0,1,2,1,0,0,4,Orthodox,170.18,175.26,125,39,28,-1,2,1,-1,-7,-23,-1,-1,0,-2.54,-2.54,-11,0.58,0.7,1.3,Red,U-DEC,blank,3.0,5:00,900.0,0
Uros Medic,Jalin Turner,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,6.2,0.47,1.9,0.98,0.75,2,10,0,0,0,0,3,1,0,4,Southpaw,190.5,195.58,155,0,10.53,0.75,0.0,0.0,0.0,0,2,0,0,0,0,2,0,0,2,Southpaw,185.42,180.34,155,28,26,0,0,0,2,2,8,0,1,1,5.08,15.24,-2,-4.33,1.9,0.98,neither,SUB,Rear Naked Choke,1.0,4:01,241.0,0
Cody Brundage,Nick Maximov,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,1.7,0.49,0.0,3.0,0.3,0,3,0,0,0,1,0,0,0,1,Southpaw,182.88,193.04,185,0,2.7,0.61,0.9,0.86,0.25,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,185,27,23,-1,1,1,1,-1,2,0,0,0,0.0,10.16,-4,-1.0,-0.9,2.14,neither,U-DEC,blank,3.0,5:00,900.0,0
Matthew Semelsberger,Martin Sano,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,4.0,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,170,0,6.16,0.48,0.5,0.98,1.0,1,7,0,0,0,1,1,0,0,2,Switch,185.42,190.5,170,28,30,-1,0,-2,-2,-1,-7,0,-1,0,-5.08,0.0,2,-2.16,-0.5,-0.98,neither,KO/TKO,Punch,1.0,0:15,15.0,0
Jonathan Pearce,Omar Morales,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,3.4,0.38,0.0,0.6,1.0,1,14,0,0,0,3,1,0,0,4,Orthodox,180.34,185.42,145,0,6.79,0.53,1.0,7.17,0.57,1,6,0,0,0,0,2,0,0,2,Switch,182.88,180.34,145,29,35,0,0,2,2,0,8,0,-1,0,-2.54,5.08,6,-3.39,-1.0,-6.57,neither,SUB,Rear Naked Choke,2.0,3:31,511.0,0
Anthony Smith,Ryan Spann,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,5,0,3.43,0.44,1.6,1.58,0.38,2,13,0,0,1,1,2,2,0,6,Orthodox,195.58,200.66,205,0,3.03,0.47,0.8,0.46,0.28,8,47,1,0,0,1,7,4,0,12,Orthodox,193.04,193.04,205,33,30,0,-1,2,-6,-6,-34,-1,-5,-2,2.54,7.62,-3,0.4,0.8,1.12,Red,SUB,Rear Naked Choke,1.0,3:47,227.0,0
Ion Cutelaba,Devin Clark,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,0,3.13,0.56,0.1,2.51,0.34,5,25,0,0,0,6,0,0,0,6,Orthodox,182.88,190.5,205,1,4.91,0.42,0.0,4.39,0.6,5,19,0,0,0,1,3,0,0,4,Southpaw,185.42,190.5,205,27,31,-1,0,0,2,0,6,0,-3,0,-2.54,0.0,4,-1.78,0.1,-1.88,neither,U-DEC,blank,3.0,5:00,900.0,0
Ariane Lipski,Mandy Bohm,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,2.4,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,125,0,3.33,0.36,0.4,0.19,0.2,4,14,0,0,0,1,0,1,0,2,Orthodox,167.64,170.18,125,27,32,-2,0,-2,-2,-4,-14,0,0,-1,2.54,10.16,5,-0.93,-0.4,-0.19,neither,U-DEC,blank,3.0,5:00,900.0,0
Arman Tsarukyan,Christos Giagos,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,2.88,0.41,0.5,3.31,0.41,4,21,0,0,0,3,0,2,0,5,Orthodox,177.8,180.34,155,0,3.59,0.46,0.0,3.38,0.34,1,12,0,0,0,3,0,0,0,3,Orthodox,170.18,182.88,155,24,31,0,-1,-1,2,3,9,0,0,2,7.62,-2.54,7,-0.71,0.5,-0.07,Red,KO/TKO,Punches,1.0,2:09,129.0,0
Nate Maness,Tony Gravely,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,4.14,0.54,0.6,5.57,0.48,1,11,0,0,1,0,2,0,0,3,Orthodox,165.1,175.26,135,0,2.87,0.46,0.5,1.52,0.75,0,5,0,0,0,1,0,1,0,2,Orthodox,177.8,182.88,135,30,29,0,0,0,1,1,6,0,2,-1,-12.7,-7.62,-1,1.27,0.1,4.05,neither,KO/TKO,Punches,2.0,2:10,430.0,0
Joaquin Buckley,Antonio Arroyo,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,2.82,0.66,0.2,1.14,0.41,2,11,0,0,0,1,0,1,0,2,Orthodox,190.5,185.42,185,0,4.16,0.37,0.0,0.8,0.16,2,8,0,0,0,0,2,0,0,2,Southpaw,177.8,193.04,185,27,32,1,0,0,0,0,3,0,-2,1,12.7,-7.62,5,-1.34,0.2,0.34,neither,KO/TKO,Punches,3.0,2:26,746.0,0
Mike Rodriguez,Tafon Nchukwi,2021-09-18,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,MALE,3,0,6.56,0.53,0.0,1.15,0.57,1,8,0,0,0,1,1,0,0,2,Orthodox,182.88,195.58,205,0,4.35,0.53,0.0,0.0,0.0,4,15,0,0,0,0,3,0,0,3,Southpaw,193.04,208.28,205,32,26,-1,0,1,-1,-3,-7,0,-2,0,-10.16,-12.7,-6,2.21,0.0,1.15,neither,U-DEC,blank,3.0,5:00,900.0,0
Pannie Kianzad,Raquel Pennington,2021-09-18,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,3.59,0.49,0.7,1.11,0.28,5,38,1,0,2,4,0,2,0,8,Orthodox,170.18,170.18,135,0,5.34,0.49,0.1,0.31,0.22,2,17,0,0,0,4,0,0,0,4,Orthodox,170.18,167.64,135,29,33,0,-3,0,4,3,21,1,0,2,0.0,2.54,4,-1.75,0.6,0.8,Red,U-DEC,blank,3.0,5:00,900.0,0
Rong Zhu,Brandon Jenkins,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,2.81,0.39,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,180.34,155,0,4.33,0.53,0.0,4.56,0.75,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,21,29,-1,0,0,0,-1,-3,0,0,0,7.62,0.0,8,-1.52,0.0,-4.56,neither,KO/TKO,Punches,3.0,4:35,875.0,0
Montel Jackson,JP Buys,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,1.76,0.43,2.5,1.7,0.3,2,5,0,0,0,0,0,1,0,1,Orthodox,165.1,170.18,135,0,3.42,0.55,0.3,4.13,0.78,2,17,0,0,0,2,2,1,0,5,Southpaw,177.8,190.5,135,29,25,1,-1,-2,-4,0,-12,0,-2,0,-12.7,-20.32,-4,-1.66,2.2,-2.43,neither,U-DEC,blank,3.0,5:00,900.0,0
Erin Blanchfield,Sarah Alpar,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,2.36,0.44,0.4,1.61,0.26,1,5,0,0,0,0,0,1,0,1,Southpaw,162.56,160.02,135,0,8.0,0.57,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,167.64,135,22,30,1,0,1,1,1,5,0,0,1,0.0,-7.62,8,-5.64,0.4,-1.39,neither,U-DEC,blank,3.0,5:00,900.0,0
Impa Kasanganay,Carlston Harris,2021-09-18,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,5.27,0.49,2.7,0.0,0.0,0,1,0,0,0,0,0,1,0,1,Orthodox,182.88,193.04,170,0,4.96,0.48,0.2,1.75,0.58,1,13,0,0,0,3,0,1,0,4,Orthodox,180.34,190.5,170,27,34,0,0,-2,-3,-1,-12,0,0,0,2.54,2.54,7,0.31,2.5,-1.75,neither,KO/TKO,Punches,1.0,2:38,158.0,0
Emily Whitmire,Hannah Goldy,2021-09-18,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,6.05,0.47,0.3,0.61,0.33,2,9,0,0,0,1,0,0,0,1,Orthodox,162.56,154.94,125,0,2.5,0.31,0.5,1.9,0.66,3,8,0,0,0,1,0,1,0,2,Orthodox,165.1,160.02,125,30,29,0,0,-1,-1,-1,1,0,0,-1,-2.54,-5.08,-1,3.55,-0.2,-1.29,neither,SUB,Armbar,1.0,4:17,257.0,0
Derek Brunson,Darren Till,2021-09-04,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,5,1,2.26,0.46,0.0,0.5,0.41,3,29,1,0,1,3,2,0,0,6,Southpaw,182.88,187.96,185,0,3.45,0.47,0.5,3.15,0.34,6,44,0,0,0,7,7,2,0,16,Southpaw,185.42,195.58,185,37,28,1,-4,-1,-10,-3,-15,1,-5,-2,-2.54,-7.62,-9,-1.19,-0.5,-2.65,Red,SUB,Rear Naked Choke,3.0,2:13,733.0,0
Tom Aspinall,Serghei Spivac,2021-09-04,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,3.71,0.49,0.2,2.72,0.57,2,14,0,1,0,1,1,1,0,4,Orthodox,190.5,198.12,260,0,7.19,0.65,1.4,2.73,1.0,0,4,0,0,0,0,2,1,0,3,Orthodox,195.58,198.12,256,28,26,0,0,0,1,2,10,0,-1,0,-5.08,0.0,-2,-3.48,-1.2,-0.01,Red,KO/TKO,Elbow,1.0,2:30,150.0,-4
Alex Morono,David Zawada,2021-09-04,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,3.84,0.41,1.7,0.97,0.33,3,10,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,170,0,5.14,0.42,0.4,0.38,0.25,4,30,0,0,1,4,2,1,0,8,Orthodox,180.34,182.88,170,31,31,1,-1,-2,-7,-1,-20,0,-2,0,2.54,7.62,0,-1.3,1.3,0.59,neither,U-DEC,blank,3.0,5:00,900.0,0
Modestas Bukauskas,Khalil Rountree Jr.,2021-09-04,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,MALE,3,0,3.24,0.38,0.2,0.0,0.0,5,18,0,0,0,1,3,0,0,4,Southpaw,185.42,193.04,205,0,3.59,0.37,0.0,0.0,0.0,2,5,0,0,0,0,1,0,0,1,Switch,190.5,198.12,205,27,31,0,0,2,3,3,13,0,2,0,-5.08,-5.08,4,-0.35,0.2,0.0,neither,KO/TKO,Kick,2.0,2:30,450.0,0
Paddy Pimblett,Luigi Vendramini,2021-09-04,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,2.82,0.4,0.6,1.11,0.15,2,6,0,0,0,0,1,0,0,1,Orthodox,172.72,185.42,155,0,10.64,0.58,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,155,26,25,1,0,1,1,2,6,0,1,0,-5.08,0.0,-1,-7.82,0.6,1.11,neither,KO/TKO,Punches,1.0,4:25,265.0,0
Molly McCann,Ji Yeon Kim,2021-09-04,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,5.04,0.34,0.0,0.0,0.0,3,17,0,0,2,0,1,0,0,3,Orthodox,170.18,182.88,125,0,5.67,0.49,0.6,1.7,0.32,3,17,0,0,0,3,0,0,0,3,Orthodox,162.56,157.48,125,31,31,-1,0,-1,0,0,0,0,1,0,7.62,25.4,0,-0.63,-0.6,-1.7,neither,U-DEC,blank,3.0,5:00,900.0,0
Jack Shore,Liudvik Sholinian,2021-09-04,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,1.27,0.2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,135,0,4.03,0.58,0.9,4.47,0.41,0,8,0,0,1,0,0,2,0,3,Orthodox,172.72,180.34,135,26,31,0,-3,-3,-3,0,-8,0,0,-2,5.08,0.0,5,-2.76,-0.9,-4.47,neither,U-DEC,blank,3.0,5:00,900.0,0
Julian Erosa,Charles Jourdain,2021-09-04,"Las Vegas, Nevada, USA",USA,Red,False,Catch Weight,MALE,3,1,5.07,0.46,0.6,0.0,0.0,2,14,0,0,0,0,2,0,0,2,Switch,175.26,175.26,145,0,5.55,0.47,0.9,1.45,0.5,5,19,0,0,1,0,2,1,0,4,Southpaw,185.42,187.96,145,32,25,-1,1,-1,-2,-3,-5,0,0,-1,-10.16,-12.7,-7,-0.48,-0.3,-1.45,neither,SUB,D'Arce Choke,3.0,2:56,776.0,0
Dalcha Lungiambula,Marc-Andre Barriault,2021-09-04,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,5.8,0.46,0.0,0.35,0.25,3,14,0,0,0,0,1,0,0,1,Orthodox,185.42,187.96,185,0,2.97,0.43,0.0,2.05,0.46,1,9,0,0,0,1,1,0,0,2,Orthodox,172.72,193.04,185,34,31,0,0,0,-1,2,5,0,0,0,12.7,-5.08,-3,2.83,0.0,-1.7,neither,U-DEC,blank,3.0,5:00,900.0,0
Edson Barboza,Giga Chikadze,2021-08-28,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,5,0,3.76,0.45,0.3,0.33,0.33,1,17,0,0,2,2,2,0,0,6,Orthodox,182.88,187.96,145,0,4.11,0.44,0.1,0.4,0.44,9,64,0,1,1,6,8,0,0,16,Orthodox,180.34,190.5,145,35,33,0,4,2,-10,-8,-47,0,-6,0,2.54,-2.54,-2,-0.35,0.2,-0.07,Red,KO/TKO,Punch,3.0,1:44,704.0,0
Bryan Battle,Gilbert Urbina,2021-08-28,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,6.21,0.59,0.0,4.14,0.33,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,185,0,6.34,0.52,2.1,2.07,1.0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,185,26,25,0,0,0,0,0,0,0,0,0,5.08,-5.08,-1,-0.13,-2.1,2.07,neither,SUB,Rear Naked Choke,2.0,2:15,435.0,0
Ricky Turcios,Brady Hiestand,2021-08-28,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,4.4,0.49,0.0,6.0,0.54,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,0,7.0,0.45,0.0,1.0,0.22,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,135,28,22,-1,0,0,0,-1,-3,0,0,0,-2.54,0.0,-6,-2.6,0.0,5.0,neither,S-DEC,blank,3.0,5:00,900.0,0
Kevin Lee,Daniel Rodriguez,2021-08-28,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,8.06,0.5,0.2,0.84,0.55,1,16,0,0,0,3,2,1,0,6,Southpaw,185.42,187.96,170,0,3.89,0.42,0.8,3.19,0.43,6,44,1,0,1,3,3,4,0,11,Orthodox,175.26,195.58,170,28,34,-1,2,-1,-5,-5,-28,-1,-1,-3,10.16,-7.62,6,4.17,-0.6,-2.35,neither,U-DEC,blank,3.0,5:00,900.0,0
Andre Petroski,Micheal Gillmore,2021-08-28,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,2.35,0.59,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,185,0,3.48,0.57,1.1,4.55,0.44,0,0,0,0,0,0,0,0,0,0,Switch,182.88,185.42,185,30,34,0,0,0,0,0,0,0,0,0,-2.54,-2.54,4,-1.13,-1.1,-4.55,neither,KO/TKO,Elbows,3.0,3:12,792.0,0
